DO NOT MODIFY! Scanner has some issues which are yet to be fixed. Changes will be overwritten.

name;games;email;url
https://store.steampowered.com/curator/35920674;Company of Heroes 2,Warhammer 40,000: Dawn of War II: Retribution,Warhammer 40,000: Dawn of War III,Warhammer 40,000: Dawn of War II,Warhammer® 40,000: Dawn of War® II Chaos Rising,Warhammer 40,000: Dawn of War II: Retribution,Warhammer 40,000: Dawn of War III,Warhammer 40,000: Dawn of War II,Warhammer® 40,000: Dawn of War® II Chaos Rising,Warhammer 40,000: Dawn of War II: Retribution,Warhammer 40,000: Dawn of War III,Warhammer 40,000: Dawn of War II,Warhammer® 40,000: Dawn of War® II Chaos Rising,Warhammer 40,000: Dawn of War II: Retribution,Warhammer 40,000: Dawn of War III,Warhammer 40,000: Dawn of War II,Warhammer® 40,000: Dawn of War® II Chaos Rising,COH 2 - The Western Front Armies: US Forces,Company of Heroes 2 - The Western Front Armies; ;https://store.steampowered.com/curator/35920674?snr=1_5_9__2000
https://store.steampowered.com/curator/27977419;BioShock Infinite; ;https://store.steampowered.com/curator/27977419?snr=1_5_9__2000
Virtual Programming;BioShock Infinite; ;https://store.steampowered.com/search/?developer=Virtual%20Programming%20%28Linux%29&snr=1_5_9__2000
Urban Games;Transport Fever 2,Transport Fever,Train Fever; ;https://store.steampowered.com/search/?developer=Urban%20Games&snr=1_5_9__2000
https://store.steampowered.com/curator/37843953;Poly Bridge 2,Poly Bridge; ;https://store.steampowered.com/curator/37843953?snr=1_5_9__2000
Introversion;Prison Architect,DEFCON,Uplink,Darwinia; ;https://store.steampowered.com/developer/Introversion?snr=1_5_9__2000
GiantArmy;Universe Sandbox; ;https://store.steampowered.com/developer/GiantArmy?snr=1_5_9__2000
sadpanda;Crush Crush,Blush Blush,Cabin Fever,Hush Hush - Only Your Love Can Save Them; ;https://store.steampowered.com/developer/sadpanda?snr=1_5_9__2000
Fishing Planet LLC;Fishing Planet; ;https://store.steampowered.com/search/?developer=Fishing%20Planet%20LLC&snr=1_5_9__2000
beautifulglitch;Monster Prom 2: Monster Camp,Monster Prom,MAZEMAN; ;https://store.steampowered.com/developer/beautifulglitch?snr=1_5_9__2000
Out of the Park Developments;Out of the Park Baseball 22; ;https://store.steampowered.com/search/?developer=Out%20of%20the%20Park%20Developments&snr=1_5_9__2000
Volcanoid;Volcanoids; ;https://store.steampowered.com/search/?developer=Volcanoid&snr=1_5_9__2000
thunderlotus;Spiritfarer®,Sundered®: Eldritch Edition,Jotun: Valhalla Edition; ;https://store.steampowered.com/developer/thunderlotus?snr=1_5_9__2000
Crowbar Collective;Black Mesa; ;https://store.steampowered.com/search/?developer=Crowbar%20Collective&snr=1_5_9__2000
https://store.steampowered.com/curator/33976373;Descenders,Action Henk; ;https://store.steampowered.com/curator/33976373?snr=1_5_9__2000
mightanddelight;Book of Travels,Shelter 2,Paws,Meadow,Tiny Echo,Pan-Pan; ;https://store.steampowered.com/developer/mightanddelight?snr=1_5_9__2000
kalypso;Tropico 6,Railway Empire,Dungeons 3,Sudden Strike 4,Dungeons 2,Spacebase Startopia,Commandos 2 - HD Remaster,Vikings - Wolves of Midgard,Grand Ages: Medieval,Crookz - The Big Heist; ;https://store.steampowered.com/developer/kalypso?snr=1_5_9__2000
CleverEndeavourGames;Ultimate Chicken Horse; ;https://store.steampowered.com/developer/CleverEndeavourGames?snr=1_5_9__2000
harebrainedschemes;BATTLETECH,Shadowrun Returns,Shadowrun: Dragonfall - Director's Cut,Shadowrun: Hong Kong - Extended Edition; ;https://store.steampowered.com/developer/harebrainedschemes?snr=1_5_9__2000
Holyday Studios;Firestone Idle RPG,Holyday City: Reloaded; ;https://store.steampowered.com/search/?developer=Holyday%20Studios&snr=1_5_9__2000
Creative Assembly;Total War: ROME REMASTERED,Alien: Isolation; ;https://store.steampowered.com/search/?developer=Creative%20Assembly&snr=1_5_9__2000
hinterland;The Long Dark; ;https://store.steampowered.com/developer/hinterland?snr=1_5_9__2000
beawesomegames;Day of Dragons; ;https://store.steampowered.com/developer/beawesomegames?snr=1_5_9__2000
weirdbeard;Tricky Towers; ;https://store.steampowered.com/developer/weirdbeard?snr=1_5_9__2000
Bennett Foddy;Getting Over It with Bennett Foddy; ;https://store.steampowered.com/search/?developer=Bennett%20Foddy&snr=1_5_9__2000
2K;Borderlands: The Pre-Sequel; ;https://store.steampowered.com/developer/2K?snr=1_5_9__2000
Extremely OK Games, Ltd.;Celeste,TowerFall Ascension; ;https://store.steampowered.com/search/?developer=Extremely%20OK%20Games%2C%20Ltd.&snr=1_5_9__2000
TexelRaptor;Parkitect; ;https://store.steampowered.com/developer/TexelRaptor?snr=1_5_9__2000
chucklefish;Starbound; ;https://store.steampowered.com/developer/chucklefish?snr=1_5_9__2000
LostPilgrims;Vagrus - The Riven Realms; ;https://store.steampowered.com/developer/LostPilgrims?snr=1_5_9__2000
https://store.steampowered.com/curator/33784989;Papers, Please,Papers, Please,Papers, Please,Papers, Please; ;https://store.steampowered.com/curator/33784989?snr=1_5_9__2000
payloadstudios;TerraTech; ;https://store.steampowered.com/developer/payloadstudios?snr=1_5_9__2000
Laminar Research;X-Plane 11,X-Plane 10 Global - 64 Bit; ;https://store.steampowered.com/search/?developer=Laminar%20Research&snr=1_5_9__2000
phobia-game-studio;CARRION; ;https://store.steampowered.com/developer/phobia-game-studio?snr=1_5_9__2000
